target,n_oof_rows,r2_raw,r2_insample_iso,r2_honest_cv,delta_insample,delta_honest_cv,overfit_gap,applied_to_test
eea,221,0.9185254497109223,0.9401535751321062,0.9178177111479298,0.021628125421183864,-0.0007077385629925548,0.02233586398417642,False
egb,337,0.9350681003660359,0.9504264540913939,0.9307612766358927,0.015358353725357987,-0.004306823730143239,0.019665177455501226,False
egc,2028,0.9162378825170083,0.9244428025922632,0.9165960208349075,0.008204920075254862,0.0003581383178992148,0.007846781757355648,False
ei,222,0.8138854994384261,0.8521021671314535,0.8040274875468387,0.03821666769302734,-0.009858011891587415,0.048074679584614755,False
eps,229,0.8361577755408062,0.8800626011941711,0.8332481911037433,0.043904825653364954,-0.0029095844370629065,0.04681441009042786,False
nc,229,0.8858406667439667,0.9139722475551566,0.8521308171612796,0.028131580811189938,-0.03370984958268708,0.06184143039387702,False
tg,4139,0.9170251974670726,0.9205782216261571,0.9155985669611026,0.003553024159084539,-0.001426630505969917,0.004979654665054456,False
